"date","close","volume","open","high","low"
"2018/03/26","42.0600","1889914.0000","40.5800","42.1400","39.9400"
"2018/03/23","39.9300","2022977.0000","41.7300","41.7300","39.9300"
"2018/03/22","41.6500","2399285.0000","40.7300","42.4100","40.3010"
"2018/03/21","41.3000","1664924.0000","40.8900","42.2300","40.5210"
"2018/03/20","40.8900","1430018.0000","40.3400","41.2200","39.9000"
"2018/03/19","40.3100","2506164.0000","40.5600","41.2900","39.5252"
"2018/03/16","41.0200","1351323.0000","40.6700","41.3800","40.4000"
"2018/03/15","40.7800","1342613.0000","41.0000","41.2000","39.9300"
"2018/03/14","40.7900","1815885.0000","40.0000","40.8904","39.3500"
"2018/03/13","39.5700","3169915.0000","41.0800","41.9400","38.9500"
"2018/03/12","41.0100","2898408.0000","39.6700","41.3800","39.6501"
"2018/03/09","39.5100","2216183.0000","39.4100","39.9300","38.8400"
"2018/03/08","38.8500","2304759.0000","39.4300","39.5000","38.6600"
"2018/03/07","39.2300","2899652.0000","37.4000","39.6500","37.2550"
"2018/03/06","38.3200","2580760.0000","38.2300","38.5800","36.8600"
"2018/03/05","38.2300","4382311.0000","37.1500","38.9900","36.7300"
"2018/03/02","37.3300","7316937.0000","34.6900","37.6300","34.3100"
"2018/03/01","34.9600","2133477.0000","34.8000","35.3000","34.2300"
"2018/02/28","34.1600","2310552.0000","34.5600","35.4500","34.0900"
"2018/02/27","34.4400","2062157.0000","33.6000","34.6800","33.3400"
"2018/02/26","33.8800","1960530.0000","33.5000","34.2800","32.7600"
"2018/02/23","33.5200","1352237.0000","32.6800","33.5399","32.6400"
"2018/02/22","32.4400","1692066.0000","33.3300","33.5700","32.2500"
"2018/02/21","33.0600","1825154.0000","33.0000","33.7800","32.5900"
"2018/02/20","33.0100","2402699.0000","32.8600","33.8800","32.6500"
"2018/02/16","33.0900","4794707.0000","31.5500","33.4500","30.8900"
"2018/02/15","32.1300","5194710.0000","30.8000","32.5800","30.7000"
"2018/02/14","30.7200","13294790.0000","29.0900","32.0000","28.5900"
"2018/02/13","26.4400","4048835.0000","25.8300","26.7052","25.5400"
"2018/02/12","25.7900","2381317.0000","24.7300","25.8800","24.6300"
"2018/02/09","24.5200","2533596.0000","24.1500","24.7000","23.2500"
"2018/02/08","23.9100","1729802.0000","24.8100","24.8200","23.9000"
"2018/02/07","24.3600","1463299.0000","24.6000","24.9700","24.2500"
"2018/02/06","24.6400","1807670.0000","23.7200","24.8300","23.4400"
"2018/02/05","24.4400","1847172.0000","25.2000","25.5700","24.3200"
"2018/02/02","25.5500","2105440.0000","25.9500","26.0100","25.4000"
"2018/02/01","26.0600","1023811.0000","26.0000","26.3300","25.7700"
"2018/01/31","26.2400","914390.0000","26.2800","26.7300","26.0800"
"2018/01/30","26.1000","889660.0000","26.0300","26.3400","25.7790"
"2018/01/29","26.3900","1012555.0000","26.5400","26.7800","26.2600"
"2018/01/26","26.5300","1161517.0000","26.6800","26.9800","26.3200"
"2018/01/25","26.5200","1121614.0000","27.0500","27.1400","26.2700"
"2018/01/24","26.9100","1921052.0000","26.7800","27.4600","26.3000"
"2018/01/23","26.6300","1049811.0000","26.2900","26.7550","26.0100"
"2018/01/22","26.2400","931609.0000","25.7200","26.2400","25.5900"
"2018/01/19","25.7100","1031126.0000","25.6800","25.9000","25.3787"
"2018/01/18","25.6800","890523.0000","25.3900","25.8700","25.2100"
"2018/01/17","25.4000","1126365.0000","25.6900","25.6900","25.1000"
"2018/01/16","25.3300","1791739.0000","26.4700","26.8600","25.1600"
"2018/01/12","26.1600","906122.0000","26.0700","26.2000","25.7000"
"2018/01/11","26.0300","1192066.0000","25.7600","26.1778","25.7100"
"2018/01/10","25.6400","749669.0000","25.7100","25.9500","25.5200"
"2018/01/09","25.7500","1594969.0000","26.3200","26.8300","25.7100"
"2018/01/08","26.1700","1533792.0000","25.7600","26.2500","25.5800"
"2018/01/05","25.7600","1023784.0000","25.8200","25.9800","25.5850"
"2018/01/04","25.6800","1260761.0000","25.9500","26.3000","25.5500"
"2018/01/03","25.6900","1632494.0000","25.1800","25.9200","25.0500"
"2018/01/02","25.1000","1941987.0000","24.1300","25.2600","24.1000"
"2017/12/29","23.6000","2724436.0000","24.4100","24.6000","23.6000"
"2017/12/28","24.3800","1502287.0000","24.6100","24.8700","24.2600"
"2017/12/27","24.5100","1238150.0000","24.6500","24.8600","24.3600"
"2017/12/26","24.7200","995143.0000","24.8000","25.0300","24.5600"
"2017/12/22","24.8100","1470567.0000","24.4100","24.9800","24.2600"
"2017/12/21","24.3300","1935384.0000","25.1000","25.1700","24.2500"
"2017/12/20","25.0900","885239.0000","24.9600","25.2900","24.6601"
"2017/12/19","25.0100","1298887.0000","25.4000","25.5400","24.7300"
"2017/12/18","25.4000","1399025.0000","25.6100","25.7300","25.3200"
"2017/12/15","25.3800","1421923.0000","25.2700","25.4800","25.0200"
